,sentiment,content
7989,enthusiasm,The first time all week I can play WoW and I get stuck at &quot;authenticating&quot;.
7990,sadness,@DinerokidMayo Im upset cuz now everyone agrees
7991,sadness,apparently you are not getting on anymore... sad
7992,worry,At the dr office for abbie's second round of shots...
7993,sadness,I need to sit  my insides hurt ughhh
7994,neutral,To lose this gut lol no seriously i have gained a lil and im not liking how it looks.
7995,happiness,@PhreshlyPhaded Oh wow  Thanks for the info.
7996,worry,"@winkphotography great to finally meet you last night! Wish we had more time to talk. Can't go to the coffee GTGs, though... Day job."
7997,worry,"omg, my right ear is blocked and it's so annoying. what if i wake up deaf?  not gonna lie, i'm so scared"
7998,sadness,@dorritos @repressd i get migranes.. so @repressd.. that leaves you to either arthritis and/or gout!
7999,worry,webcam still wont work  evil stuffs.
8000,sadness,argh! why why why
8001,love,"Lunching and bike riding around the village today with Lulu. Love my new bike, just wish I didn't have to lock it up all the time"
8002,worry,@PandaMayhem my kid is sick too tho..i can't do it by myself.  i can't go there by myself like a crazy stalker
8003,sadness,possibly going out tonight; is there ANYTHING to do in Lancaster? I miss Baltimore
8004,worry,@iamdiddy I need a hug  I'm doing my junior cert this week and I'm totally stressed out :'(
8005,sadness,@pilmorelee you beggar! Making me feel homesick
8006,sadness,"@frgmnt I know, lame."
8007,happiness,Thinks its gonna rain
8008,worry,@cheesygiraffe aww. I hope you feel better soon.
8009,worry,"@mmitchelldaviss It saddens me, you're youtube has changed. It's just like every other youtube kid, you used to be different"
8010,hate,is fed up of stupid bots adding me
8011,neutral,Is waiting for sumone to come online
8012,worry,Feels rather lonely on here! I have no followers
8013,neutral,@JraseanJ aww  I wish there was sun out here. Then I can get a tan!!!!  (walks it out) go meee go meeee
8014,worry,"Twenty20 cricket, beer and sunshine very good. Well apart from the beer cause i'm on tablets!"
8015,enthusiasm,Lazy day in is awesome but I really should go out
8016,sadness,"Rope witdrawal in full effect, no one to tie, no teaching, no demos, no one to play with. But worst of all - No one to play with!"
8017,love,come and save me from my packing please?!
8018,worry,@iamdiddy including myself... guess umma be partying alone yet again...lol..
8019,love,My break is over  back to the inferno  [ I Love Her ]
8020,love,"eating some breakfast at Panera Bread. boring cloudy weather, lil drizzle"
8021,worry,honestly cant wait for wednesdays chemistry exam to be over - getting to me real bad
8022,neutral,@QdobaMexGrill how do we know if we won?
8023,love,I have a job at camp!!  Only downfall? No midnight showing of Harry Potter for me
8024,sadness,Rachael makes me want to cry
8025,neutral,"Fish fingers and potato croquettes it is then! Would love some baked beans, but they tend to hurt me."
8026,worry,my internet service has been acting strange after the earthquake. Just found out that the submarine fiber optics cable got damaged
8027,surprise,"@natalietran hey Nat, just wondering, why are your videos never available on the iPhone?"
8028,sadness,@katebuckjr Sorry I can not reach either URL
8029,worry,"I would do a #FollowFriday, but everyone on my list is already on everyone elses list so what's the point?  I'm just not popular enough."
8030,sadness,not feeling well at all today! ugh cant I just go home.
8031,sadness,My eyes hurt.
8032,love,pondering OC/LA day trip tmr. after yoga/work. hmm n then see school of 7bells in irvine tmr nite. ponder ponder... gota work on sun tho
8033,surprise,@mawbooks I want a copy to read! I can't find it at my little library.  #bea09
8034,happiness,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol"
8035,surprise,@cocodkr the vid-link is not working  but snatched some people to follow off your list ;P
8036,sadness,@dutchraymond yeah I didn't realize how bad it all was till now
8037,sadness,has today off! But has to work tomorrow
8038,sadness,"being lazy the rain does that to me  gym&amp;&amp;tanning is possibe, work &amp;&amp; a small social gathering around tha corner"
8039,sadness,Can't give blood within a year of getting a tattoo so I can't give...Im gutted
8040,worry,i really need a skateboard  ........
8041,worry,@charlimillions where r u i? Am wearing a black polkadot dress n green cardigan i cant find u
8042,worry,Are you going to hate being around my baby?
8043,sadness,my head huwwts
8044,neutral,@jonmerryman I remember the show... I don't remember the hiccups...
8045,anger,@cindaxo the straightener's another 110 pounds though. Seems pricey
8046,surprise,Ugh its really hot today already and its not even noon yet  i want ice water!
8047,sadness,I have to go to work with out my @andrajoi and @treykinkade
8048,sadness,@vosdjs LOL yea the fondue is on point... but that Chocolate Lava Cake is what you really want...but I wont be here   Im Mon-Fri babes!
8049,neutral,@HypeDaGreat Oh ok. I&quot;m @ work so no playing for me til later  lol.
8050,neutral,@thetastydactyls  did you try the coat-hanger trick?
8051,sadness,That's it? It's done already? This is one proof that there's nothing fair in this world.   http://bit.ly/10UEMq
8052,worry,@J1S2004 Ubertwitter is still giving me an error msg.. Smh... Sucks
8053,happiness,@nick_carter  awww poor you  - but you know ... you're doing it for US - bless you ;)))
8054,worry,"@thegoodhuman Sorry to hear, wish there were words to make it better you"
8055,neutral,Will be back in Dallas tomorrow.
8056,hate,Just finished reading Chuck Palahniuk's &quot;Pygmy&quot; and kind of hated it. I'm really disappointed; I had pretty high hopes for this one.
8057,sadness,I've been offered Fred on loan but I has no moniiieeeess...
8058,worry,@davegiumara yeah the weather ruined my plans too  i was gonna beach it up as well
8059,boredom,ok its been one hour im still waiting im losing my patience
8060,surprise,"@awaisnaseer I had mailed @badar76 for something, you got the e-mail, I didn't which should probly mean I won't get it"
8061,happiness,@erinhosborn Thanks Legolas.  @betterlesson Fellowship. re: Google wave: like. @bing demoed 2. http://tinyurl.com/ma6j6l means &quot;Disease&quot;
8062,worry,Did you guys figure out Saturday? I really wanted to go but my mom is sick so I have to take her to the hospital in Tampa
8063,love,"Every time I hear someone from Vancouver, it makes me follow them. I'm hopelessly in love with #vancouver"
8064,worry,"@iamdiddy my hubby.  promised job promotion so we didn't move, signed a new lease n they withdrew the promotion..."
8065,sadness,"@APStylebook I know, but I need some things in my life to be constant"
8066,sadness,Is youtube not working properly for anyone else? I can't watch videos because they keep failing to load
8067,happiness,@starangel82 @darkheath @140lover Everyone's going to think I'm a gold digger  Hahahaha
8068,worry,@iamdiddy  My dog Nemo cause he wimpers every morning when I leave
8069,worry,@_Enigma__ did you even listen to the blip i sent you
8070,neutral,I hate having headrush
8071,sadness,no luck in goin to forum.. im about the only person on earth not goin out
8072,sadness,Starving. And Alyssa's mom would bring her subway.
8073,enthusiasm,I really wish someone would make a groupchat theme for Adium suited for IRC. yMous has way too low contrast.
8074,happiness,At the doctors office woooo so much fun. Have to go back to wotk after this cant afford to be off.
8075,worry,Saw a black snake in the garden.  Went back for a picture and it was gone
8076,sadness,has new headphones but no mp3 player yet  http://plurk.com/p/x258n
8077,neutral,@causticsoda it was fine. i was still up playing inFamous. sorry to hear how things ended up again
8078,worry,Having trouble syncing my iphone to my work exchange email  help!!!!
8079,hate,Hanging out at the San Fran airport. Got a few hour wait until I go anywhere...BTW SFO's $7 wifi is garbage.
8080,sadness,@risquethaianna i cant go swimmin any more
8081,empty,@_Cheshire_Cat_
8082,neutral,@anisalovesu it was apparently a request by the guests
8083,enthusiasm,workin at la bootay... wheres the warm weather at???
8084,love,rip grandpa  graduation today...
8085,worry,Sunburn on my knees
8086,worry,@AFMikey413 that sigh doesn't sound happy.
8087,worry,is sadly going to have to cancel my Chicago trip next week.
8088,worry,In the mood for shrimp scampi but I don't have vermouth.
8089,worry,Today is not going to be relaxing like I hoped.
8090,neutral,@JonasBrothersOx umm..nope not anymoree
8091,sadness,@tommcfly sweet .. Englands becoming lamer and lamer since you guys left
8092,worry,in media still havnet found ipod
8093,worry,They just layed off 23 teachers in the city near me  I wonder if I should be thinking about not going into that jobfield...
8094,sadness,"i got a haircut, i felt like that guy on the &quot;Last Samuri&quot; who was forced to have his ponytail cut off."
8095,hate,On my way 2 work damn sinus headaches suck
8096,love,I ate to much lunch...now I don't want to work
8097,neutral,@Jengo_ i wanna go to the pub
8098,sadness,@GLAMvoy Yes I think so unless it changed.  I sent u a happy mothers day text but u never responded back
8099,hate,Got tired of the kitchen being uninhabital so swept and mopped the floor when its dry I'll do the work tops
8100,sadness,@emaxio still @ the courthouse!     Happy to have a job... sad its this one!
8101,sadness,@tearose21 Wish I could be there to enjoy a girls day!!!
8102,worry,http://twitpic.com/66ydb - @jenleighbarry I made sure you got credit at the end of the book...I'm sure I forgot people though.
8103,neutral,where is @HoodieCouture ???
8104,worry,"on the phone with Arvest, the girl on the phone is breathing into the mic on the phone... not sound as good as Darth Vader..."
8105,sadness,And it's gone.
8106,sadness,Im here at work super bored
8107,neutral,JUST GOT BACK 4RM A LONG WORKOUT AT DA GYM  ....
8108,sadness,to cold for the beach  sucky.
8109,empty,@deardrahpee don't know  and no not at all
8110,sadness,@Berumen4 No.  Just sitting around sculpting tiny koi.
8111,worry,"I never order chips any more due to how unhealthy they are, but getting a burrito from Chipotle or Qdoba doesn't feel right without em"
8112,worry,i totally need to go to the doctor for my arm...this bitch is STILL hurtin like hell      i shall return
8113,neutral,just slammed my finger in a car dor  FML ow
8114,neutral,Hmph I had to order some bootleg Pharos GPS phone they dont have the BB I wanted at Office Depot
8115,happiness,out enjoying the weather before i have to go to work.. last shift with @jamieallover
8116,neutral,awesome i just ruined all my white clothes i never remember to separate
8117,sadness,O.k i feel like i need to cry now  i can't believe that in less than 2 years ill be walking across the stage to get a High School diploma!
8118,empty,Piz's last lunch in b-dubb
8119,sadness,@Jonasbrothers Just saw the webc. awesome! i loved all the songs! im sad cuz i couldnt be there  had 2 wake up early and it started at 1am
8120,sadness,So now we'll pay more in sales tax...great.  Even worse Mom and Pop businesses have to double what they pay in business licenses.
8121,happiness,Had quite a cool day with Charlie and then Ben aswell (: got lost and stung by nettles
8122,sadness,is stressin h-core. and is supposed to be cleaning her room. and feels like crap.
8123,happiness,@HannahSukter anywayss to the point i am dying to spend my summer over there or somewhere hot with you guys
8124,worry,feel like shit.....and will continue to for as long as it takes
8125,surprise,Can't believe i'm spending my lunch break inside @ my desk
8126,neutral,finishing one shift in 37 mins... drive half an hour and start all over again till 1am...and back in @ 11am tomorrow .. and its sunny
8127,worry,"is suffering from hayfever, is drowsy from too much Piriton, and is heading to bed with the air purifier on"
8128,sadness,back from lunch and it's pouring rain! ugh  ohh well at least it gets me into a Death Cab For Cutie mood!
8129,sadness,@Mad_Gab  We should bask in misery together
8130,worry,@Sirvashawn let me know how it goes I'm praying. Ummmph. I still can't believe it.
8131,fun,ok... finished all the Mikados  Should shut up now! lol
8132,worry,@travisroberts What would you know about packing? You're making poor Lauren do it all.
8133,enthusiasm,Sushi joint was closed  but still had a nice lunch w/ Angel!
8134,neutral,@kirbywhitehead haha! I remember that! That trip was fun. I Miss miss miss miss miss chu
8135,neutral,@chathuraw ???? ???? ????.....  ???? ???? ??????? ?? ???...
8136,neutral,wish i was 17 again
8137,neutral,says from now it will be impossible to Plurk from work  system administrators closed the access in the firew... http://plurk.com/p/x25jw
8138,fun,"@blues_traveler I want the Tix!  Oh, right.  I'm know where near Vacaville Ca."
8139,sadness,i feel super sick
8140,sadness,http://wave.google.com/ &lt;3 Google ... wish they'd spend a bit more time adding bits to Chrome though
8141,happiness,@rayrayyyyy &quot;now or never&quot; makes me cry everytime  lol.
8142,worry,going to a funeral
8143,worry,Worried sick now about my granddaughter. She's at Hasbro possibly needing to have her shunt revised which means another surgery.
8144,worry,"@djjezzie  how very rude fof them, you poor girl i hope you recovered from that  awful site"
8145,neutral,Twitter is slow!
8146,fun,@siamusic  as long as you have someone to make out with    lol
8147,sadness,my head is bruised really bad :|
8148,empty,finished the noodles. done the dishwasher. really really warm. i don't like it
8149,worry,Ruby Luster can't make it to NYC for our performance
8150,sadness,I hate it when I am in pain
8151,love,i have an ipod nano i never use.tut for the love of all things Apple
8152,worry,My last day with my favorite teacher.....im quite sad
8153,neutral,Just updated #Tweetie and open in browser is still broken.
8154,neutral,@rawrrxsteffie yeah quite a few kids in my school got swine flu. they only close down the school if its 30 kids or more
8155,sadness,I'm trying to find a pic for twitter but all that  ihave are too big or can't upload. So I shall remain faceless  lol
8156,worry,http://twitpic.com/66yb9 Ozzy back from the vet. Not feeling well. He looks so sad.    Possible UTI. Results tomorrow.
8157,sadness,@crystaaale wtf kinda best friend am I? I *still* haven't met the hubby. That depresses me
8158,sadness,Room is so empty
8159,hate,"Sitting in Mrs. Martins class, youtube is being stupid. and i REALLY want a popsicle!!! jealous of Sara"
8160,worry,zoita had a cardio apt. 2day. doc says her hole-in-the-heart hasn't closed. she'll need the surgery to close it http://ghurm.tumblr.com
8161,worry,@LucyMeez   I tried that pincode... and it says it is expired... you only just put it up.
8162,neutral,@inlovewitharmy i knoooooooooooow
8163,worry,Rough start to my day.  Taking this one off from DON so as not to spread my bad vibes. Hope you all have a great weekend! I'm outty.
8164,sadness,@lilmo4ever I'm So Mad I Wont Be There!!!!!!!!! UGHHH!!!
8165,worry,"is hungry, but can't leave for lunch"
8166,sadness,"Man, my sinuses r really buggin me this morning"
8167,sadness,"Had an interesting evening amongst homeless people in Venice Beach last night, wishing I had my camera with me........ and model releases"
8168,neutral,kinda has a headache...
8169,neutral,pool is still closed  and it is cloudy. what should i cook tonight?
8170,neutral,My trip to Igbaras will be postponed to next week
8171,neutral,Is concerned about @pixiefish
8172,hate,@Mezzie1221 you are a slow answerer!
8173,neutral,@nikkijean wish i coulda been there
8174,hate,@cre8tn You and your Yuotube links.  DENIED at work.
8175,worry,Have @ Irma Vep rehearsals. No...not really.
8176,surprise,Why doesn't McDonald's make PINEAPPLE pies?
8177,worry,Ouch!!... Stomachace.... I ate a lot...
8178,sadness,This is California it has to be sunny... But its not ::::: makes me kinda sad
8179,worry,"Gah. I think I like Wes Carr... Thats wrong. Nothing good has come out of Australian Idol, but his 'You' song is catchy as fuck"
8180,worry,@bruceswalker   Hi Bruce  I am trying to eat healthy!  It's kinda scary when I read &quot;Eat this Not that&quot;  maggots and rat hair in our food
8181,worry,@heffasaurus  anything I can do to help?
8182,worry,i can't sleep.  amp.
8183,empty,I'm still waiting for the Oprah touch
8184,happiness,http://twitpic.com/66ymw I'm gonna miss these guys so much  Thanks for making the 5 years at senior school amazing!
8185,happiness,"@Rush23 how about we start with a true Franchise online mode. Dynasty was huge, Madden online league not so much"
8186,hate,#itsucks when everyone but the one i want to text me is texting me!
8187,love,"@Lidybeth inoo thats why i sed ino how u feel coz im in love with kyle, i feel like such a saddo but its true ha i wanna see him tuesday"
8188,surprise,"@MetromixOrlando ok cause the one  S orange is still open. Whew, you just scared me. Sorry the one by you closed"
8189,hate,Youtube is made of fail right now. Or maybe it's just me that it hates.
8190,sadness,oasis or ribena? toughest decision everrr
8191,worry,A year from now is graduation....i am pretty sure i'm not ready for it!?!?!?
8192,happiness,Just got back from the concert! Some mistakes... I kinda failed my Macedonian test  But my relatives from Serbia are here! WooHoo!!!
8193,enthusiasm,at school again  its boring and these people are playing country and it sucks !!!!XD
8194,happiness,"Whew, the first night and day of summer were.....very sad  But, I have Jess's grad party to go to tonight!!!"
8195,happiness,Just watched the &quot;Final Break&quot; final prison break episode. It was great. Farewell Prison Break. You will be dearly missed.
8196,worry,"So, no yarn arriving until Monday and I don't even know what's in this shipment.  I have nothing to dye.    Now what?"
8197,worry,I'm gettin ready for my trip back to MA...  I don't wanna leave!
8198,empty,@Shooz1 ok ok mam ... i was jus angry
8199,neutral,@zHundred No. Not professional at all.
8200,neutral,@emclev yeah I can imagine!  Not nice   How much longer is your shift?
8201,neutral,So Bored. Firday Evening And Nothing To Do
8202,neutral,time to be nerd
8203,hate,@soniei argh. I don't like ebay. I got outbid at the last second
8204,love,@ginjagin I think you're pretty! I'm sorry they made you feel bad
8205,worry,@SiCoUK he won't reply
8206,surprise,just woke up to a flat tire
8207,worry,"*YAAAWN* Stayed up too late last night, still gotta work &amp; get up super early tomorrow"
8208,neutral,On the phone with the bank.
8209,relief,@bethanyshondark Ouch. Better get used to it. I think 22 to 25 are prime marriage years.
8210,neutral,last day at Adobe  buuuut I just registered for online tech writing course!
8211,hate,Not a bad back 43. Piss poor front tho. 90 still unbroken
8212,enthusiasm,"@mikeneumann  You just want to go?? I know the feeling...  I'm ready to head back to the mountains, I won't go back till July"
8213,sadness,"When i say &quot;we close at 6&quot;, it does not mean &quot;come in at 6&quot;. Ffs people. Also RIP Polly"
8214,worry,@BarryAlistair I must of brought the bad weather with me to the states
8215,enthusiasm,@sarahbellum Your not alone
8216,neutral,@taragracee
8217,hate,Goddamnit! If we live in an age of constant communication why can't anyone return a text
8218,surprise,"Awww NOOO, not my Venus        Will redemption come in doubles?"
8219,enthusiasm,"my mouth is sore  I have to wear these stupid retainers so my teeth don't go crooked!...in other news, I got a new swimsuit for laps!"
8220,happiness,Burnt Agenn  Nice Day Tho  xxx
8221,fun,I just vacuumed my entire house three times. Screw all vacuums!!
8222,neutral,"@heresMonique hey u, no not yet  soon maybe tomorrow!"
8223,happiness,@caltort i have tried the Teriyaki - no cookie tho!  we got (non winning) Pop-tarts with it.  All was great!
8224,sadness,@amychiu fuck was that the blink/weezer one? I totally forgot.
8225,neutral,@nebgen I am lost. Please help me find a good home.
8226,worry,The ball on my BB is not working.  I can read any text messages....holla but don't text me
8227,sadness,@sonicsalamander Sorry 'bout the migraine.  Did I mention I really liked your Cissbury (sp?) pic last week?
8228,hate,"ï¿½anisalovesu me too. I am so so upset,especially because i fear i won't get a Jared hug tomorrow"
8229,neutral,"Of course, the Evil Day Job wants me to stay longer.  I need to win the lottery."
8230,worry,Ok why am I still in the airport and my flightwas @ 1:47pm I haven't even boarded  http://myloc.me/1ZPI
8231,hate,Uploading a 1Mo video with microb and on 3G Network in the train is really slow
8232,worry,@Hellolizzay I work tomorrow
8233,sadness,@msdivineknight wish i could  want to stay and play with u guys and enjoy a block party for once
8234,sadness,"@yelyahwilliams alright. i REALLY wish you guys could've done a show in tennessee  because now, i can't go to one of your shows :'("
8235,worry,I need food. It took an hour to get to work this morning. Leaving me no time to get my morning coffee and bagel
8236,sadness,@jovenatheart you never follow me I sad  LOL
8237,relief,@thehoodnerd    Ive been dying for those!! They just so expensive in little sizes.
8238,worry,"Jonas and Demi, I miss you  / NIIICK, in my soul, ASASGDYGYASDGY ?"
8239,sadness,Shoot. Only 12 miles
8240,surprise,@tealshocked thats because im getting a new phone since my other phone dont work at all
8241,relief,work all day
8242,worry,First time in my live that i got a little pop up on the taskbar saying that one of my files was corrupt and I needed to run chkdisk
8243,sadness,@siiyu she could have been a lost dog  poor girl
8244,sadness,@MrSucre lmao i sure did!!! no luck though
8245,worry,@sri_rng dont know IMEI number  is it tracked even in india?
8246,neutral,"I'd respond, if I were going"
8247,worry,@induce1 Panchito's burfday party tonight... wish you were here kiddo!
8248,worry,Its already been a crazy morning and its ONLY 1030
8249,worry,Damn. I got a math test today.
8250,worry,y must i hve graduation practice...all im gonna is walk
8251,anger,MOtherfuck QW
8252,neutral,"@skie I'd have responded, if I were going"
8253,sadness,The girl across the hall says her cat got out when the landlord was showing her apt.  so heartbreaking
8254,worry,watching Gilmore Girls reruns!! Don't know what else to do for the day
8255,sadness,"Feeling bad for my little sister. Put a lot of money into her Saab, took full coverage off it last week, and totalled it yesterday"
8256,surprise,is at the beach watching Xmen Origins and drinking orange juice with no pulp
8257,worry,"@azroth Unfortunately, I didn't do it on purpose - itunes shuffle did it. It followed up with Dreadzone, so no life-ruin music-trauma."
8258,sadness,trying to spending time away from the reality....broke my heart again
8259,sadness,Oh no! Poor bears  i just had a nightmare i wrestled a huge snake and won
8260,worry,"@mnemosynekurai haha yea, i just feel like its being taken the wrong direction, used to be a cool place, now its a mess"
8261,worry,Epsilon Greater than Zero misses her Mommy.  http://apps.facebook.com/catbook/profile/view/5626035
8262,worry,Feeling very sad again today
8263,happiness,@Sopphue i foot think it will let you since it.s international  but we have twitter haha
8264,hate,sometimes i got tired dealing with my own dilemmas..
8265,worry,"@wendyandlisa unfortunately, I will miss Girl Bros. Radio tonight. Will be in the midst of an all night writing session"
8266,neutral,At the DMV
8267,hate,@orbitaldiamonds That drives me nuts.
8268,neutral,I hate it when I forget to actually turn on the dryer
8269,worry,Work is ded  out tonite tho eeeeeee
8270,hate,Shit. My friend's in such a state and I don't know how to help him. Nothing I say seems to be helping and I wish I knew what to say
8271,sadness,"i want my ben and jerrys now lol, TWEET PEOPLE im bored"
8272,hate,"@sierraphares oh! Yeah,your mom told be about that.  I thought you meant his twitter ID &amp; I was very confused. That sucks. Sick."
8273,surprise,@jury323 ommg gurll why aren't u going how sad
8274,worry,@lram2 What!?!?! I can't believe I had to find out this way...don't you ppl contact family first??!!? I'm so sad!  Who was it?!?1
8275,sadness,not feelin 2day
8276,worry,@thewhitemage It does it sometimes - it should come back ;) And the car thing sucks - I feel all anxious and yucky now
8277,love,@jroberson4 Good luck at the services tomorrow!! I wish I could see you guys on your vacation!
8278,worry,Is anyone there?  Please say hello - I'm feeling lonely
8279,sadness,"Going to an engagement party tommorrow night - it should be mine, but its NOT!  Stepping off the soapbox."
8280,sadness,@SeviDesigns It'll be delivered next Friday.  That is a looonnnng way away with 5 people! Guess I'll do laundry next week at mil's.
8281,worry,Is sitting in science freezing  four days (:
8282,worry,Watching hollyoaks - hoping Justin isn't the one to die.
8283,sadness,"@audreyallure - I'm really thinking about staying till tomorrow .. I have to be back in Philly 2nite, but I wanna stay so bad."
8284,worry,maths seriously hate me.
8285,neutral,@statisticsio No! Why?
8286,neutral,@katiejonesy it does but that game doesn't.
8287,neutral,Aw. Toy Story 3 is coming out NEXT year.
8288,sadness,feeling rather peckish...no dinner for at least 2 hours  wah
8289,worry,i cut my hand open!!!
8290,happiness,@shelleymcarthur I was only @ Cambie just slightly before the event then had to leave  Waiting for feedback though; I'll keep u posted!
8291,worry,@b33f4l0 @KevinDoyle Ha!  I dunno about standing anything up.  Very very rough today.  It hurts to talk.
8292,neutral,South of the Border! And officially out of South Carolina until January
8293,worry,"I'm just to far from where you are, I wanna go home..."
8294,neutral,"If I were an heiress, I would be shopping all day  Kinda bad, I know"
8295,fun,Molly keeps punching me cuz she sees yellow cars. I'm gonna be covered in bruises. I don't like this game
8296,worry,has a headache from the the heat.
8297,sadness,On my way to lake geneva and I miss my laura
8298,happiness,"going out tonight, FINALLY. i wanty lie in the park but... cinema bound it looks"
8299,neutral,time for work
8300,happiness,@MorganMartinez My dream was about hanging out with all my friends. It was good until I woke up and they weren't there.
8301,worry,Is going to have one upset daughter  in a bit..mr. Rat took a sudden turn for the worse and didn't make it
8302,worry,Does not feel good at all today
8303,surprise,"@crystaaale dude, that's eff'ed up. LOL @ chris browning you. We live so far apart and Im afraid to fly"
8304,sadness,"@CCNKAddict I know... it just falls right at 1pm my time, like right in the middle of the day"
8305,neutral,I need more twitter friends. I'm checking this far too often and find nothing new
8306,sadness,@wimnms well i miss her i think she would really like it  re:trina
8307,sadness,@ChrisEfs i tryed that the other day but they werent giving up what they were using!
8308,surprise,"@awaisnaseer I mailed @badar76 for some help, you got reply right now from him, I didn't get, which should probly mean I won't get it"
8309,worry,"Off to the shelters around me to look for her.  I hope she is okay, so afraid that she is going to get hit by a car. Can't stop crying"
8310,sadness,Nothing like waking up slow in the morning. Docs appt today.
8311,worry,Where can I get nice food for Mam down the Bay that a) is likely to have room for 3 tonight and b) isn't the mingin' burger kitchen
8312,neutral,my teeshirt is faaar too small for me but i like it too much to stop wearing it
8313,love,@Irish_Jean awessomee! cut my hurrr i give massage? orr alkie? or foodtour? yeaaah! &amp;i'll pray for ur cousin
8314,happiness,"went and got a pedicure and a manicure 2daii!!!! and den sunbathed all daii!!!! BEST DAY EVA!!!!! oh yeh,....did a teeny bit of study"
8315,sadness,It went really well! But the vid didnt work.  im sad
8316,surprise,"@jerwjr Yes.  Me too. I can't understand why they have to do that. I mean, I know it's all about Hollywood, but this thing is called love."
8317,sadness,missed my friggin hair appt!!!
8318,sadness,"@Quinztar Oh no, but that means that you won't be able to get pwned by my shottie this weekend"
8319,love,"Goood Dayy  Beeen shopping, didn't get what I wanted though  But my best friend has comeeee homeeee!! XD Ily Shannii x"
8320,worry,@orbitaldiamonds I want all the soldiers to come home so we don't have to hear about anymore being killed.
8321,boredom,"@shaveblog Problem is, Flash isnt GPU accelerated.  The Atom 330 can't play Youtube HD or Hulu HD fullscreen   Big deal with Plex..."
8322,sadness,"hillsong tom. night, and dad's birthday! i wish i could see him on his bday though."
8323,surprise,@LadyLogan awwwwww i wish her to be safe while shes gone n hugs to u must of been hard to say goodbye
8324,worry,31 degree centigrade is much hotter than 30 degree centigrade
8325,neutral,@atlanta_arcelay http://twitpic.com/4xvw2 - I got chased by a male chihuahua that looked like he was pregnant today  He was black and  ...
8326,enthusiasm,Cant wait to leave work
8327,happiness,Just got back from the doctor... I don't need surgery yayyy!!!!!! But my knees are still fucked  not gonna get better
8328,sadness,@meiko911   didn't have time this morning to go all the way across town to take a pic (SO SAD)
8329,worry,"@OSCalendar @MetromixOrlando Either way, that's unfortunate to hear  Thanks you both for the head's up."
8330,worry,I don't do very good at funerals. Crying is way 2 contagious for me
8331,neutral,@nick_carter The video is set to private
8332,worry,.@orbitaldiamonds I want all the soldiers to come home so we don't have to hear about anymore being killed.
8333,worry,am little bit upset   ppl is jerk-
8334,worry,Pretty sure I'm sat on the wrong train going the wrong way... Bah!
8335,sadness,@marisatangorra it because your handwriting isnt on any of them. and everyone is making fun of me because im sitting by myseld in the lrc
8336,sadness,. @wickedblueglow he's in bed sick. Heavy fever. Went to dr's. Part of the reason i'm watching Aladdin 2 now and still haven't been fed
8337,neutral,"I don't get it, I was feeling fine yesterday. and now im a ball of sickness ! i hate the flu,"
8338,worry,@edwardsheroin *taps shoulder* forgotten
8339,worry,is stuck inside when its so nice outside
8340,sadness,@tojoha1 sucks that i had to delete it
8341,empty,FML i just spilled my entire can of diet coke IN MY LAP. yay
8342,worry,"honestly, why did the folks at Microsoft do MS Word 2007 to me?  I can't believe I just spent 10 minutes finding auto correct options"
8343,happiness,just done planting the garden...hope sun will shine soon!
8344,worry,"Is feeling sick, probably a summer flu"
8345,worry,@pursebuzz http://twitpic.com/66z7a - I don't know why I always click on your doughnut pictures... lol I always end up wanting one
8346,hate,Ughh. That Miley creature song has infested itself in my brain!
8347,surprise,where did the rain go??
8348,empty,Wanting to leave work early today but stuff keeps accumulating.  this Friday is so a Monday in disguise. lol
8349,neutral,"@justinderekrich Good morning nyc! If I weren't broke, I would have landed there yesterday afternoon."
8350,neutral,"@heartintherain yeah but they had to come barcelona, because not all the fans can be in that concert  COME BARCELONA! JESSI TE QUIERO"
8351,sadness,I hate taking lily to the doc to get shots. It makes me super sad
8352,worry,Oh dear. Sunburned back
8353,worry,@iamdiddy yeah I need a hug...cuz I am sick..
8354,worry,So apparently my dad thinks its ok to stalk my twitter. this has been the worst week ever. i hate my life.
8355,surprise,Dance Flick actually NOT that good!
8356,worry,Still in meeting... I want some coffee right now cuz I didn't sleep well
8357,worry,is frustrated by twitter...my picture will not load.
8358,worry,@Mike_WSt the wheater here in Austria should be bad for the whole weekend. Sorry!
8359,worry,I miss my cousin so much
8360,worry,@lomeli09 i couldnt respond cuz i maxed out
8361,sadness,@gealbhan_beag     I hate cat pee.
8362,worry,@nick_carter Your video is set to private..
8363,neutral,@MarleeMatlin How did your book signing go?  If I lived there I would've came!
8364,sadness,@reverieBR That sucks. I hope you find a new job soon
8365,empty,@nick_carter The video is private.
8366,worry,"I'm so confused about the weather, is it really gonna be sunny? or is it really gonna rain?"
8367,surprise,"Chinese Lunch Buffet: $4.50 - Add a soda $1.25 - Noticing the Health Inspection score of 81 as I walk out with my bag, Priceless ....."
8368,sadness,"WOW, got killed on first wave of Horde on Gears. FAIL"
8369,worry,Creased my nikes!!  ohh well... http://twitpic.com/66zfd
8370,worry,I am working like allways. i hope i have a good day havent talked to my Mr.Goofy in over 24hours so that cant possiabally be good
8371,sadness,"just got back from NOM NOM's at our favourite restaurant here in Haarlem. I'm sad, I will miss eating there, the food is INCREDIBLE"
