Show Number,Air Date,Round,Category,Value,Question,Answer
5578,2008-12-03,Double Jeopardy!,AN I FOR AN A,$1200,There with a type of pack on his aching shoulder sat the best pitcher on our staff,ice & ace
5425,2008-03-21,Jeopardy!,TENNIS TALK,$600,"The first point after this is advantage, Mr. Bigalow",deuce
5157,2007-01-30,Double Jeopardy!,THE MIDDAY SUN,$800,"On this holiday, the U.S. flag flies at half-staff from sunrise to noon & at full staff from noon to sunset",Memorial Day
967,1988-11-15,Jeopardy!,"""LONG"" SONGS",$500,A 1979 hit by Supertramp gave you these directions for finding your way to your abode,"""Take The Long Way Home"""
5632,2009-02-17,Jeopardy!,"LITERARY CROSSWORD CLUES ""L""",$200,"""Title"" for Conrad's Jim (4)",Lord
5221,2007-04-30,Jeopardy!,"OR ""LAW"" SCHOOL?",$200,"Specific type of nail-knocker seen <a href=""http://www.j-archive.com/media/2007-04-30_J_03.jpg"" target=""_blank"">here</a>",a claw hammer
4501,2004-03-15,Double Jeopardy!,SOUNDGARDEN,$400,"From the Latin for ""throat"", it's the morning activity heard here",gargling
5321,2007-10-29,Jeopardy!,BIBLICAL ABOMINATIONS,$800,"Leviticus 11:10 says ""all that have not fins and"" these ""in the seas"" shall be an abomination",scales
5537,2008-10-07,Jeopardy!,A MOTHER GOOSE PICTORIAL,$400,"Gaze upon a <a href=""http://www.j-archive.com/media/2008-10-07_J_27.jpg"" target=""_blank"">representation</a> of the tragic end of this character",Humpty Dumpty
4533,2004-04-28,Double Jeopardy!,ELTON JOHN SONGS,$1600,"""It's getting late, have you seen my mates, Ma tell me when the boys get here""","""Saturday Night's Alright for Fighting"""
4617,2004-10-05,Double Jeopardy!,A BYZANTINE CATEGORY,$2000,"The inhabitants of the Empire didn't call themselves ""Byzantines"" but these imperial people",Romans
963,1988-11-09,Double Jeopardy!,CHILDREN'S LITERATURE,$800,"Near the end of ""Through the Looking Glass"", this queen disappears in a bowl of soup",White Queen
3874,2001-06-07,Jeopardy!,HITMEN,$200,"Although he gained fame as ""Mr. October"", he holds the career record for the most strikeouts by a batter--2,597",Reggie Jackson
3813,2001-03-14,Jeopardy!,INDEPENDENCE DAYS,$500,On August 31 the people of Kyrgyzstan celebrate its break from this country,Soviet Union/Russia
4208,2002-12-11,Double Jeopardy!,PUNS,$2000,"Funny in 1600 Dept.: When the king, acting fatherly, says, ""Clouds still hang on you"", Hamlet says, ""I am too much in"" this",the son
3970,2001-11-30,Jeopardy!,CLASSIC COMEDY TEAMS,$200,Hope & ____,(Bing) Crosby
5520,2008-09-12,Double Jeopardy!,BROADWAY MUSICAL SETTINGS,$400,"""Fiddler on the Roof"" may be the most famous American musical set in this country",Russia
3762,2001-01-02,Double Jeopardy!,CARIBBEAN CUISINE,$1000,"Goat stew is savored on this ""C"" of the ABC Islands, which lent its name to an orange-peel liqueur",Curacao
4289,2003-04-03,Final Jeopardy!,U.S. PRESIDENTS,None,He was the first U.S. president not of British descent,Martin Van Buren
62,1984-12-04,Double Jeopardy!,BIRDS,$400,"Depending on the species, a bird can have 940 to 25,000 of them",feathers
3712,2000-10-24,Double Jeopardy!,JUDAICA,"$1,500","This Nobel Prize-winning author adapted a version of his mother's name, Bathsheba, as part of his pen name",Isaac Bashevis Singer
5679,2009-04-23,Jeopardy!,BIG FAN,$600,Nothing against Trekkies but Leonard Nimoy says true believers prefer this term,Trekkers
5459,2008-05-08,Double Jeopardy!,THE BRAT FEST,$400,"After her release from jail in 2007, she promised to stop partying but then had her 27th birthday in Vegas wearing lingerie",Paris Hilton
5968,2010-07-21,Jeopardy!,IN THE BOOKSTORE,$800,"With all the controversy, this James Frey ""memoir"" now comes with notes from the publisher & author",A Million Little Pieces
3124,1998-03-12,Jeopardy!,BODY LANGUAGE,$400,"This term for strenuous extra effort sounds like it means ""Arm joint lubricant""",Elbow Grease
3906,2001-09-03,Jeopardy!,THEY HAVE HOOVES,$500,"The soft, pliant leather from this cud-chewing goat is used as a polishing cloth & to make shirts",a chamois
4461,2004-01-19,Double Jeopardy!,MAYORS,$2000,"Once U.S. drug czar, & New York City's police commissioner, he became mayor of Houston in 1998",Lee Brown
5947,2010-06-22,Jeopardy!,12-LETTER WORDS,$400,"Something needed before you can do something else, like a course you must take before enrolling in a more advanced one",a prerequisite
5733,2009-07-08,Jeopardy!,SONG TITLES' MISSING BEGINNINGS,$400,"""Lane"", ""Lover "" & ""For Your Thoughts ""","""Penny"""
3780,2001-01-26,Jeopardy!,CRAYOLA CRAYON COLORS,$300,2 of the first 3 metallic colors introduced,"Gold, silver &/or copper"
731,1987-11-09,Double Jeopardy!,THE AUTO INDUSTRY,$600,GM plans to build Saturn cars in Spring Hill while Nissan has a plant at nearby Smyrna in this state,Tennessee
5411,2008-03-03,Double Jeopardy!,"""BO""s",$1200,"Evo Morales, an Aymara Indian, is this nation's first indigenous president",Bolivia
4451,2004-01-05,Jeopardy!,COME HERE OFTEN?,$200,In 1998 it became the seventh continent to get an ESPN feed,Antarctica
4637,2004-11-03,Final Jeopardy!,ROYALTY,None,This king was the great-grandfather of France's King Louis XV,Louis XIV
4189,2002-11-14,Double Jeopardy!,IT'S ALL GREEK TO ME,$2000,"From the Greek for ""five scrolls"", it's the term used for the first 5 books of the Bible",Pentateuch
3728,2000-11-15,Double Jeopardy!,THEATRE,$1000,"This actor-playwright's acclaimed 1980 drama ""True West"" was finally produced on Broadway in 2000",Sam Shepard
1634,1991-10-10,Double Jeopardy!,CONTEMPORARY FICTION,$1000,"Colleen McCullough's novel ""The Ladies of Missalonghi"" is set in the Blue Mountains of this country",Australia
1289,1990-03-22,Jeopardy!,WORDS,$500,"Type of bag carried by soldiers or sailors, or a simple song",Ditty
2816,1996-11-25,Double Jeopardy!,ASTRONOMY,$600,This famous nebula is the remnant of a supernova observed in 1054,the Crab Nebula
5205,2007-04-06,Jeopardy!,THE W.C.,$600,"Henry Wirz, the commandant of Andersonville Prison, was executed for these",war crimes
3788,2001-02-07,Jeopardy!,HODGEPODGE,$500,"Like gumbo, a stew called burgoo is traditionally thickened with this vegetable",okra
5012,2006-05-30,Jeopardy!,COLORFUL ROCK,$800,"The melody of this 1967 Procol Harum hit was based on the Bach cantata ""Sleepers Awake""","""A Whiter Shade Of Pale"""
3850,2001-05-04,Double Jeopardy!,"PERSON, PLACE OR THING",$600,The place is another word for Australia's outback; the person is the most powerful man in the world,Bush
3579,2000-03-09,Double Jeopardy!,THE JET PROPULSION LABORATORY,$800,A JPL engineer designed this Larami Ltd. product that puts water pistols to shame,Super Soaker
2118,1993-11-17,Double Jeopardy!,MODERN NOVELS,$800,"At the end of this Pat Conroy novel, Tom Wingo whispers, ""Lowenstein, Lowenstein""",The Prince of Tides
3616,2000-05-01,Double Jeopardy!,WALLOONS,$800,The Walloons' homeland was in this 3-part area subdued by Julius Caesar,Gaul
6182,2011-06-28,Jeopardy!,LESSER-KNOWN NAMES,$1000,Maurice Wilkins shared the 1962 Nobel Prize with these 2 guys for determining the structure of DNA,Watson & Crick
4633,2004-10-27,Double Jeopardy!,"""RE""RUNS",$400,"If preparations are going poorly, just remember, ""bad"" this, ""good show""",rehearsal
5846,2010-02-01,Double Jeopardy!,FROM THE GREEK FOR...,"$2,000","""Going out""; it's a book in the Bible",Exodus
4956,2006-03-13,Jeopardy!,CELL-PHONING IT IN,$400,Tony Stewart was the 2005 champion of the cup named for this company,Nextel
4993,2006-05-03,Jeopardy!,1984 TV DEBUTS,$400,The Huxtables began their 8-year dominance of the Nielsen ratings on this sitcom,The Cosby Show
3032,1997-11-04,Double Jeopardy!,HISTORIC NUMBERS,$1000,This phrase about where we wanted our northern border was a Polk campaign slogan,"""54-40 or fight!"""
4595,2004-07-23,Double Jeopardy!,THE STING,$1200,"The creature known as this ""false"" arachnid has venomous pincers & no tail",a scorpion
5257,2007-06-19,Double Jeopardy!,SHORT PAPAL,$2000,The V pope of this name came in like a lion in 903 (but went out like a lamb by 904),Leo
6285,2012-01-06,Double Jeopardy!,GAME DESCRIPTIONS,$2000,"As Master Chief, shoot at the Covenant, massacre the flood; rinse, repeat",Halo
5190,2007-03-16,Double Jeopardy!,THE ANCIENTS,$800,"In 55 B.C. Cicero published ""On"" this type of person who may be described as silver-tongued",an orator
4915,2006-01-13,Jeopardy!,NEW YORK STATE,$1000,"While living in these New York mountains, Robert Louis Stevenson began writing ""The Master of Ballantrae""",the Adirondacks
4184,2002-11-07,Jeopardy!,WATER WORLD,$400,"This term also heard on CB radio refers to a wave that's ""plunging"" or ""spilling"" on the shore",breaker
5909,2010-04-29,Jeopardy!,"TER""MA""NATORS",$600,"From the Sanskrit for ""duty"", one of its dhefinitions is the teaching of the Buddha",dharma
5675,2009-04-17,Double Jeopardy!,AMERICANA,$800,This capital's Frontier Days celebration has been held every year since 1897,"Cheyenne, Wyoming"
3040,1997-11-14,Double Jeopardy!,FAMILIAR PHRASES,$600,"If you're grouchy now it may be because you ""got up on"" this in the morning",the wrong side of the bed
3901,2001-07-16,Double Jeopardy!,6-LETTER WORDS,$1000,"A sulking, petulant child, or a long-legged pigeon",a pouter
4770,2005-05-06,Jeopardy!,ALL ABOARD!,"$1,000",Ride in restored 1930s passenger cars on the Oil Creek and Titusville Railroad in this state,Pennsylvania
4835,2005-09-23,Double Jeopardy!,"COMPOSING, DECOMPOSING",$1600,"Made an overture to ""A Midsummer Night's Dream"" in 1826, went gentle into that good night on Nov. 4, 1847 in Leipzig",Felix Mendelssohn
5531,2008-09-29,Jeopardy!,BROADWAY DEBUTS,$400,"A theatre employee knows that this 1-named singer made his B'way debut in ""Chicago"" in 2006",Usher
4835,2005-09-23,Double Jeopardy!,"COMPOSING, DECOMPOSING",$1200,"Checked in with ""Cello Concerto in B Minor"" in 1895, Czech-ed out in Prague on May 1, 1904",Dvorak
4839,2005-09-29,Double Jeopardy!,LET'S BE SECURE,$1200,"(<a href=""http://www.j-archive.com/media/2005-09-29_DJ_25.jpg"" target=""_blank"">Tom Ridge reads.</a>)  I led the largest reorganization of the government since the 1940s, including bringing the Secret Service, customs, & this whole military service into the DHS",the Coast Guard
5966,2010-07-19,Double Jeopardy!,NAME THAT ELEMENT,$1200,"Alphabetically, it's right after radium",radon
5026,2006-06-19,Jeopardy!,HARLEM SHUFFLE,$400,"Maintaining the Dutch theme, one of Harlem's major newspapers is the ""News"" bearing the name of this city",Amsterdam
3731,2000-11-20,Jeopardy!,ROCK ME,$500,It's the earthy term for crystal lime nodules like the one seen here,Geode
3224,1998-09-17,Double Jeopardy!,ALL ABOUT OPERA,$200,"(VIDEO DAILY DOUBLE): ""Effervescent"" nickname of the opera singer seen here  [photo from a 1996 <i>Celebrity Jeopardy!</i> appearance]","""Bubbles"" (Beverly Sills)"
4333,2003-06-04,Jeopardy!,THERE'S NOTHING LIKE A DAME,$200,"Once seen as Emma Peel, she was Mrs. Danvers in ""Rebecca"" on ""Masterpiece Theatre""",Diana Rigg
6001,2010-10-18,Jeopardy!,THAT'S BORDERLINE,$800,"The capital of this country is within 100 miles of France, Germany, Italy & Liechtenstein",Switzerland
5016,2006-06-05,Double Jeopardy!,"HOLD ME CLOSER, TONY DANZA",$1600,"Tony was so adept in his first primate movie, ""Going Ape!"", he was teamed up again with one in the sequel to this 1981 racing flick",The Cannonball Run
5483,2008-06-11,Double Jeopardy!,SPORTS,$400,"In 2008 Kelvin Sampson found he could no longer phone it in as hoops coach of this ""Hoosier"" school",Indiana
6285,2012-01-06,Jeopardy!,"I WANT MY ""BABY"" BACK, ""BABY"" BACK",$1000,"<a href=""http://www.j-archive.com/media/2012-01-06_J_10.jpg"" target=""_blank"">This</a> youthful fellow had a bad run-in with the authorities in 1934",Baby Face Nelson
5422,2008-03-18,Double Jeopardy!,IN THEM THAR HILLS,$800,"Better-known name of the Washington, D.C. hill once known as Jenkins' Hill",Capitol Hill
3091,1998-01-26,Jeopardy!,LYRICISTS,$400,"This first great collaborator of Richard Rodgers wrote ""My Funny Valentine"" & ""Isn't it Romantic?""",Lorenz Hart
3301,1999-01-04,Jeopardy!,CLOTHES MAKE THE LAND,$500,Bedouin costumes like these abound in this country that's east of Israel & west of Saudi Arabia,Jordan
4958,2006-03-15,Jeopardy!,HONEST AL TREBEK'S USED CARS,$200,"Yes, this American Motors car shares its name with a WWII engine trouble-causing imp... what, no sale?",a Gremlin
6078,2011-02-02,Double Jeopardy!,MEN & WOMEN OF LETTERS,$400,History-loving Edgar Lawrence...,(E.L.) Doctorow
2673,1996-03-27,Jeopardy!,QUOTATIONS,$200,"This humorist said, ""Politics has got so expensive that it takes lots of money to even get beat with""",Will Rogers
4139,2002-09-05,Jeopardy!,INTERNATIONAL HOLIDAYS & OBSERVANCES,$800,This French holiday falls on July 14,Bastille Day
1175,1989-10-13,Double Jeopardy!,GREEK MYTHOLOGY,$600,In the Trojan War Ajax grew frenzied & killed himself when this man's armor was given to Ulysses,Achilles
4138,2002-09-04,Jeopardy!,PRE-CIVIL WAR AMERICA,$400,"James, brother of this Philadelphian, began publishing Rhode Island's first newspaper in 1732",Ben Franklin
3461,1999-09-27,Jeopardy!,AMERICAN HISTORY,$400,"On Aug. 2, 1826 at Boston's Faneuil Hall, this great orator delivered a eulogy on Jefferson & Adams",Daniel Webster
2890,1997-03-07,Jeopardy!,THE MOVIES,$200,"In ""Batman Returns"" Paul Reubens played the father of this Danny DeVito character",The Penguin
5200,2007-03-30,Jeopardy!,BEER COUNTRY OF ORIGIN,$200,Hope your Moosehead has a nice head on it in this country,Canada
1985,1993-04-02,Jeopardy!,WORD ORIGINS,$300,"Some believe the word gimmick began as gimac, an anagram of this",magic
4600,2004-09-10,Double Jeopardy!,ASTRONOMY,$1200,Term for the astronomical event that heralds the beginning of summer,the solstice
3551,2000-01-31,Double Jeopardy!,SLAMMER CINEMA,$800,1973: Butterflies aren't free for Dustin Hoffman,Papillon
1480,1991-01-25,Jeopardy!,JOHNNY MERCER LYRICS,$200,"Phrase following ""So you met someone who set you back on your heels""","""Goody Goody"""
3473,1999-10-13,Double Jeopardy!,CONTEMPORARIES,$800,"While Hannibal was working out how to take Rome, this ""Eureka"" mathematician was killed by a Roman soldier",Archimedes
5584,2008-12-11,Jeopardy!,THE BIGGEST LOSER,$400,"In 2000 he got only 2.8 million votes, yet some say he tipped the election to the winner",(Ralph) Nader
3009,1997-10-02,Jeopardy!,"SAY ""WH""?",$500,"Kids like to do them with their bikes, off the curb",Wheelies
6093,2011-02-23,Double Jeopardy!,SO. CAL. STUDIES,$1200,The state's southernmost county shares its name with this big city,San Diego
2839,1996-12-26,Double Jeopardy!,BRITISH TV,$200,Only 12 episodes were made of this series starring John Cleese as a Torquay hotelier,"""Fawlty Towers"""
5019,2006-06-08,Double Jeopardy!,CITY OF THE DAY: SAN FRANCISCO,$1200,This poet was the first black--& the first female--streetcar conductor in San Francisco,Maya Angelou
6026,2010-11-22,Jeopardy!,WORLD HERSTORY,$800,Some scholars believe that this wife of Akhenaton was not Egyptian but an Asian princess from Syria,Nefertiti
3941,2001-10-22,Double Jeopardy!,"ENDS IN ""FF""",$400,"The relationship of ""Frasier"" to ""Cheers"", or ""Melrose Place"" to ""Beverly Hills 90210""",spin-off
3466,1999-10-04,Jeopardy!,"""V""OCABULARY",$400,In the Middle Ages it was a person who held land from a feudal lord & owed allegiance to him,Vassal
5302,2007-10-02,Jeopardy!,A HERCULEAN EFFORT,$800,Hercules literally took the weight of the world off his shoulders when he needed help with some golden apples,Atlas
5920,2010-05-14,Jeopardy!,BOXING TERMS SANS BOXING,$600,"Hey, ya palooka, I got you a lawyer... yeah, he's also known by this ""oral"" term",a mouthpiece
4979,2006-04-13,Double Jeopardy!,MELANCHOLY SITES OF FORMER GRANDEUR,$1600,In the 1400s the temple complex of Angkor in this present country was abandoned & the jungle crept in,Cambodia
3916,2001-09-17,Double Jeopardy!,BUSINESS & INDUSTRY,$400,"This firm began in 1897 as Nippon Gakki Company, an organ manufacturer; electronic organs came along in 1959",Yamaha
5125,2006-12-15,Double Jeopardy!,BELT,$400,"The German co. Phoenix has created the longest of these, taking mining ore 10.5 mi. from India to Bangladesh",a conveyor belt
1164,1989-09-28,Double Jeopardy!,CLASSICAL MUSIC,$200,"Richard Horowitz, a timpanist with the Met, makes these sticks that a conductor uses",Batons
6124,2011-04-07,Jeopardy!,THE GALAPAGOS ENVIRONMENT,$600,"With their fins a Chinese delicacy, these are in danger in the Galapagos, upsetting the ecological balance",sharks
5374,2008-01-10,Jeopardy!,BOARD GAME HISTORY,$400,"While out of work, Alfred Butts created this word game by mixing anagrams with crossword puzzles",Scrabble
4981,2006-04-17,Jeopardy!,TV SUPPORTING CASTS,$800,"David Ogden Stiers, Loretta Swit, Harry Morgan",M*A*S*H
1630,1991-10-04,Double Jeopardy!,BODIES OF WATER,$400,This Canadian bay has the longest shoreline of any bay,Hudson Bay
5104,2006-11-16,Jeopardy!,SCIENCE,$800,Echocardiography can tell you whether this doublespeak heart issue is caused by an abnormal valve,heart murmur
5141,2007-01-08,Jeopardy!,PINKY,$400,Colonies of this pink wading bird of the family Phoenicopteridae have been obvserved high in the Andes,flamingoes
1871,1992-10-26,Jeopardy!,U.S. STATES,$500,"The pecan is the state nut not of Georgia, but of this neighbor to the west",Alabama
3207,1998-07-07,Double Jeopardy!,EXCLAMATION POINTS,$800,"""Las Vegas (what?)...Las Vegas!!!!"" is an article by this ""Bonfire of the Vanities"" author",Tom Wolfe
2853,1997-01-15,Double Jeopardy!,SAINTS,$600,"A cathedral in Salerno, Italy is said to contain the crypt of this saint & author of the 1st gospel",Matthew
5408,2008-02-27,Jeopardy!,MISSING BODY PARTS,$600,This lord protector's body was once buried in Westminster Abbey; it's believed his head is buried in Cambridge,Oliver Cromwell
3251,1998-10-26,Jeopardy!,"OH, THE PLACES YOU'LL GO!",$100,"Fairy tales can come true in Odense, Denmark when you visit the home & museum of this author",Hans Christian Andersen
6241,2011-11-07,Jeopardy!,"SCIENCE ""K""LASS",$200,"Almost exactly equal to the mass of 1,000 cubic centimeters of water, it's a base unit in the metric system",kilogram
4667,2004-12-14,Jeopardy!,HEADQUARTERS,$800,The Ford Motor Company has long been headquartered in this city that adjoins Detroit,Dearborn
6014,2010-11-04,Jeopardy!,SILLY RHYMES,$200,Having decorative ruffles,frilly
4462,2004-01-20,Double Jeopardy!,SEEING THE FUTURE,$800,"At the beginning of a tarot card reading, the subject should do this with his left hand",cut the cards
5644,2009-03-05,Jeopardy!,MIT DEN BEATLES,$800,"To please their rabid German fans, the boys re-recorded this hit as ""Sie liebt dich"" in 1964","""She Loves You"""
4152,2002-09-24,Jeopardy!,INVENTED FIRST,$800,"Linoleum, bakelite, aspartame",linoleum (around 1860)
3922,2001-09-25,Double Jeopardy!,GOOD SPORTS,$800,Derek Jeter & Pedro Martinez play this professional sport,baseball
4735,2005-03-18,Double Jeopardy!,THAT'S ILLINOIS-ING,$2000,"Here's ""de"" story; barbed wire was first perfected & manufactured in this city",DeKalb
5390,2008-02-01,Double Jeopardy!,ENTERTAINING THE TROOPS,$2000,"This trio often appeared in WWII USO shows singing their hit songs like ""Boogie Woogie Bugle Boy""",The Andrews Sisters
2826,1996-12-09,Jeopardy!,"CATCHING SOME ""Z""S",$100,"Its signs include Taurus, Gemini & Leo",Zodiac
4989,2006-04-27,Final Jeopardy!,WOMEN IN HISTORY,None,"In an 1863 essay Harriet Beecher Stowe called this woman whom she had met with ""The Libyan Sibyl""",Sojourner Truth
5324,2007-11-01,Double Jeopardy!,THE HOUSE OF BURGESS MEREDITH,$1200,There's the signpost up ahead; Burgess appeared in many episodes of this TV series & was its narrator in movie form,The Twilight Zone
2940,1997-05-16,Double Jeopardy!,RELIGION,$400,"A shrine of the Bab, a forerunner of the Baha'i, is in Haifa in this country",Israel
1221,1989-12-18,Jeopardy!,TV WESTERNS,$100,This Gene Barry lawman wore a derby & fancy clothes & carried a gold-topped cane,Bat Masterson
3428,1999-06-30,Jeopardy!,THE BEAT OF THE TOM,$100,"In the 1957 group known as Tom & Jerry, Tom was Art Garfunkel & he was Jerry",Paul Simon
5696,2009-05-18,Jeopardy!,RESTAURANT LINGO,$400,This French word that means a main course on American menus can refer to an appetizer in France,entrée
2963,1997-06-18,Double Jeopardy!,TRADE,$800,"An independent agency of the U.S. government, it's also called Eximbank",Export/Import Bank
5388,2008-01-30,Jeopardy!,SUE SHE,$1000,This NYC congresswoman started wearing hats after being overlooked while working for a labor law firm,Bella Abzug
3639,2000-06-01,Double Jeopardy!,THE CINEMA,$1000,"This bouncy wirehaired fox terrier shared the spotlight with William Powell & Myrna Loy in ""The Thin Man"" series",Asta
4792,2005-06-07,Double Jeopardy!,MISSING LINKS,$1200,Ethan _____ wrench,Allen
4598,2004-09-08,Jeopardy!,MICRONESIA,$800,"In Agana, the capital of this U.S. territory, you can visit Latte Stone Park & see stone pillars from a prehistoric people",Guam
6097,2011-03-01,Jeopardy!,AFRICAN AMERICANS,$600,"Of that bus incident in 1955, she once said, ""All I was doing was trying to get home from work""",(Rosa) Parks
277,1985-10-01,Double Jeopardy!,THE NETHERLANDS,$400,"As of March 1985, 3.46 of these equaled the American dollar",guilder
3292,1998-12-22,Jeopardy!,PATRIOTIC SONGS,$500,"Its fifth verse begins, ""In the beauty of the lillies Christ was born across the sea""","""The Battle Hymn Of The Republic"""
1630,1991-10-04,Jeopardy!,SPORTS,$100,In 1941 this heavyweight boxing champ successfully defended his title a record 7 times,Joe Louis
4862,2005-11-01,Jeopardy!,TRAVEL & TOURISM,$600,"Excurstions are available from this largest Greek island to Santorini, which some call the ""Lost Atlantis""",Crete
5365,2007-12-28,Double Jeopardy!,IN LINE FOR BRITAIN'S THRONE,$400,Number One: This former pilot in the Royal Navy,Prince Charles
5704,2009-05-28,Jeopardy!,NEWS FROM THE 21st CENTURY,$1000,"In 2003 this moral crusader reportedly lost $8 million at casinos; he said he was ""pretty close to even""",Bill Bennett
5700,2009-05-22,Double Jeopardy!,"THE ""BUC""s",$2000,This monarch has a troubling dream in the Bible's Book of Daniel,Nebuchadnezzar
5329,2007-11-08,Jeopardy!,TV DETECTIVES,$200,"This show began by saying ""Once upon a time, there were 3 little girls who went to the police academy""",Charlie's Angels
4611,2004-09-27,Double Jeopardy!,THE INTERNATIONAL SPY MUSEUM,$400,"(<a href=""http://www.j-archive.com/media/2004-09-27_DJ_04.jpg"" target=""_blank"">Sofia of the Clue Crew narrates from the Int'l Spy Museum in Washington, D.C.</a>)  You could give someone the kiss of death using the lipstick gun provided to employees of this Soviet spy agency",the KGB
4085,2002-05-10,Double Jeopardy!,RELIGION,"$4,000",Joseph Smith translated the Book of Mormon from gold plates revealed to him by an angel named this,Moroni
3327,1999-02-09,Jeopardy!,AUTHORS & THEIR WORKS,$400,"""The Cinnamon Peeler"" is a book of poems by this Ceylon-born author of ""The English Patient""",Michael Ondaatje
4864,2005-11-03,Jeopardy!,REALLY TOUGH WHEEL OF FORTUNE PUZZLES,$200,"ON THE MENU: I'll take a ""G"", Pat & solve the puzzle... it's an Italian dish of tiny dumplings made from potatoes or flour",gnocchi
5123,2006-12-13,Jeopardy!,SOUTH AMERICA,$600,"Bernardo O'Higgins is called ""The Liberator"" of this long nation & also founded its navy",Chile
4732,2005-03-15,Double Jeopardy!,CHAPLIN,$1600,"In 1914, this Keystone Studios head was the last person other than Chaplin to direct him in a film",(Mack) Sennett
4226,2003-01-06,Final Jeopardy!,STATE CAPITALS,None,"One of the 2 state capitals whose names end with the letter ""U""","(1 of 2) Juneau, Alaska or Honolulu, Hawaii"
3797,2001-02-20,Double Jeopardy!,ACTORS & THEIR ROLES,$600,"(Hi, I'm Greg Proops.) I once performed my own version of this 1939 film for Radio Scotland; I played all the parts, even the winged monkeys",The Wizard of Oz
5834,2010-01-14,Double Jeopardy!,BOXING MOVIES,$1200,In this 1939 classic William Holden played a gifted violinist who took up boxing to further his musical career,Golden Boy
3808,2001-03-07,Jeopardy!,NATIVE AMERICANA,$200,Mahicans lived along the Hudson; Mohegans lived in Connecticut; Mohicans were created by this author,James Fenimore Cooper
4748,2005-04-06,Double Jeopardy!,"AS YOU ""IKE"" IT",$1600,An expressway with tollgates,a turnpike
5880,2010-03-19,Jeopardy!,AVOIDING A DISASTROUS TRIP TO EUROPE,$600,"If in Norway on July 18, don't inquire if it's a national holiday due to the birth of this traitor in 1887",(Vidkund) Quisling
5881,2010-03-22,Double Jeopardy!,EARTH SCIENCE,$2000,"(<a href=""http://www.j-archive.com/media/2010-03-22_DJ_20.wmv"">Sarah of the Clue Crew shows a map on the monitor.</a>)  South America & Africa fit together like puzzle pieces; this theory says they were connected 200 million years ago & have been moving away from each other up to 4 inches a year",plate tectonics
5842,2010-01-26,Jeopardy!,EURO COINS,$600,This composer appears on the reverse of Austria's 1-Euro coin,Mozart
4673,2004-12-22,Double Jeopardy!,DAYS,$1200,Lisa Loring played this creepy girl on TV in the '60s,Wednesday (Addams)
4844,2005-10-06,Jeopardy!,YOU GET THE POWER...,$800,"...with this energy source, a colorless hydrocarbon consisting primarily of methane & ethane",natural gas
3908,2001-09-05,Jeopardy!,THE SPANISH-AMERICAN WAR,$200,"His ""You furnish the pictures & I'll furnish the war"" line to Remington seems to be more fiction than fact",William Randolph Hearst
5128,2006-12-20,Double Jeopardy!,BOOKS & AUTHORS,$2000,"""Mother died today"" is the first line of this Camus novel",L'Etranger or The Stranger
3105,1998-02-13,Double Jeopardy!,WHERE THE WILD THINGS ARE,$800,"The wild horned aoudad, or Barbary sheep, lives in the Aures & these northern African mountains",the Atlas Mountains
5142,2007-01-09,Jeopardy!,PSYCHOLOGY,"$3,400",Think the queen is trying to kill you?  Delusions of persecution. Think you are the queen? Delusions of this,grandeur
1238,1990-01-10,Double Jeopardy!,FICTIONAL SISTERS,$200,Southern belle whose sisters were Suellen & Carreen,Scarlett O'Hara
4335,2003-06-06,Double Jeopardy!,THE 1890s,$400,"Japan had an emperor, Russia, a czar & Italy was ruled by one of these",king
5488,2008-06-18,Jeopardy!,ZEPPELIN,$200,Zeppelins were named for Count Ferdinand von Zeppelin of this country,Germany
4303,2003-04-23,Jeopardy!,COLLEGE FOOTBALL FIELDS,$200,"This armed service's Michie Stadium was named for infantryman Dennis Michie, who coached its first football team",Army
4397,2003-10-21,Double Jeopardy!,NEXT TO BRAZIL,"$5,000",It's the only territory that Brazil borders that is an overseas region of a European nation,French Guiana
3141,1998-04-06,Double Jeopardy!,PUNCHY WRITERS,$200,"""By George"" is an appropriate title for this boxer's 1995 autobiography",George Foreman
1634,1991-10-10,Double Jeopardy!,BEFORE HE WAS PRESIDENT,$600,In 1935 he was appointed director of the National Youth Administration in Texas,Lyndon Johnson
2929,1997-05-01,Jeopardy!,ORDER,$100,He's first in order of succession to the British throne,Prince Charles
4253,2003-02-12,Jeopardy!,I'M A SPINELESS JELLYFISH,$200,"Being spineless, jellyfish are members of this ""no bones about 'em"" animal group",invertebrates
6232,2011-10-25,Jeopardy!,CAR TALK,$800,"(<a href=""http://www.j-archive.com/media/2011-10-25_J_27.wmv"">Kelly of the Clue Crew shows a diagram of car brakes on the monitor.</a>) If your brakes squeal, it may indicate that these parts the engage the rotors are wearing thin & should be replaced",the brake pads
5924,2010-05-20,Jeopardy!,SIGN OF THE FOUR,$800,"Of the 4 principal directions on a sailing ship, the one that's also a potent potable",port
4575,2004-06-25,Jeopardy!,VULTURE CULTURE,$800,"DNA evidence suggests American vultures are closely related to these long-legged birds, family Ciconiidae",storks
3114,1998-02-26,Double Jeopardy!,MOVIE GEOGRAPHY,$800,"The Errol Flynn western named for this Kansas town inspired the plot of Mel Brooks' ""Blazing Saddles""",Dodge City
3472,1999-10-12,Double Jeopardy!,FRUIT IN LATIN,$800,A malum is one of these & it may be of your oculus,"Apple (""Apple of your eye"")"
